"","Binomial","class","order","family","genus","species","subspecies","common_name","female_maturity_d","litter_or_clutch_size_n","litters_or_clutches_per_y","adult_body_mass_g","maximum_longevity_y","gestation_d","weaning_d","birth_or_hatching_weight_g","weaning_weight_g","egg_mass_g","incubation_d","fledging_age_d","longevity_y","male_maturity_d","inter_litter_or_interbirth_interval_y","female_body_mass_g","male_body_mass_g","no_sex_body_mass_g","egg_width_mm","egg_length_mm","fledging_mass_g","adult_svl_cm","male_svl_cm","female_svl_cm","birth_or_hatching_svl_cm","female_svl_at_maturity_cm","female_body_mass_at_maturity_g","no_sex_svl_cm","no_sex_maturity_d","lat","lon","fullCountry","temp","precip"
"16","Dendrohyrax arboreus","Mammalia","Hyracoidea","Procaviidae","Dendrohyrax","arboreus",NA,"Southern Tree Hyrax",365,1.755,NA,2981.11,13.6,229,152.04,380,NA,NA,NA,NA,12.3,365,1,NA,NA,NA,NA,NA,NA,53.4995,NA,NA,NA,NA,NA,NA,NA,-5.101566,38.628765,"Tanzania, United Republic of",22.3,1446
"17","Dendrohyrax arboreus","Mammalia","Hyracoidea","Procaviidae","Dendrohyrax","arboreus",NA,"Southern Tree Hyrax",365,1.755,NA,2981.11,13.6,229,152.04,380,NA,NA,NA,NA,12.3,365,1,NA,NA,NA,NA,NA,NA,53.4995,NA,NA,NA,NA,NA,NA,NA,-3.193736,37.513077,"Tanzania, United Republic of",19,1262
"18","Dendrohyrax arboreus","Mammalia","Hyracoidea","Procaviidae","Dendrohyrax","arboreus",NA,"Southern Tree Hyrax",365,1.755,NA,2981.11,13.6,229,152.04,380,NA,NA,NA,NA,12.3,365,1,NA,NA,NA,NA,NA,NA,53.4995,NA,NA,NA,NA,NA,NA,NA,-3.179081,37.512047,"Tanzania, United Republic of",19,1262
"19","Dendrohyrax arboreus","Mammalia","Hyracoidea","Procaviidae","Dendrohyrax","arboreus",NA,"Southern Tree Hyrax",365,1.755,NA,2981.11,13.6,229,152.04,380,NA,NA,NA,NA,12.3,365,1,NA,NA,NA,NA,NA,NA,53.4995,NA,NA,NA,NA,NA,NA,NA,3.140088,37.304848,"Kenya",27.3,238
"20","Dendrohyrax arboreus","Mammalia","Hyracoidea","Procaviidae","Dendrohyrax","arboreus",NA,"Southern Tree Hyrax",365,1.755,NA,2981.11,13.6,229,152.04,380,NA,NA,NA,NA,12.3,365,1,NA,NA,NA,NA,NA,NA,53.4995,NA,NA,NA,NA,NA,NA,NA,-3.190051,37.438961,"Tanzania, United Republic of",16.9,1357
"21","Dendrohyrax arboreus","Mammalia","Hyracoidea","Procaviidae","Dendrohyrax","arboreus",NA,"Southern Tree Hyrax",365,1.755,NA,2981.11,13.6,229,152.04,380,NA,NA,NA,NA,12.3,365,1,NA,NA,NA,NA,NA,NA,53.4995,NA,NA,NA,NA,NA,NA,NA,-3.184737,37.357635,"Tanzania, United Republic of",16.9,1357
"22","Dendrohyrax arboreus","Mammalia","Hyracoidea","Procaviidae","Dendrohyrax","arboreus",NA,"Southern Tree Hyrax",365,1.755,NA,2981.11,13.6,229,152.04,380,NA,NA,NA,NA,12.3,365,1,NA,NA,NA,NA,NA,NA,53.4995,NA,NA,NA,NA,NA,NA,NA,3.153714,37.289143,"Kenya",27.3,238
"23","Dendrohyrax arboreus","Mammalia","Hyracoidea","Procaviidae","Dendrohyrax","arboreus",NA,"Southern Tree Hyrax",365,1.755,NA,2981.11,13.6,229,152.04,380,NA,NA,NA,NA,12.3,365,1,NA,NA,NA,NA,NA,NA,53.4995,NA,NA,NA,NA,NA,NA,NA,-3.176682,37.361755,"Tanzania, United Republic of",16.9,1357
"24","Dendrohyrax arboreus","Mammalia","Hyracoidea","Procaviidae","Dendrohyrax","arboreus",NA,"Southern Tree Hyrax",365,1.755,NA,2981.11,13.6,229,152.04,380,NA,NA,NA,NA,12.3,365,1,NA,NA,NA,NA,NA,NA,53.4995,NA,NA,NA,NA,NA,NA,NA,-3.193693,37.440163,"Tanzania, United Republic of",16.9,1357
"25","Dendrohyrax arboreus","Mammalia","Hyracoidea","Procaviidae","Dendrohyrax","arboreus",NA,"Southern Tree Hyrax",365,1.755,NA,2981.11,13.6,229,152.04,380,NA,NA,NA,NA,12.3,365,1,NA,NA,NA,NA,NA,NA,53.4995,NA,NA,NA,NA,NA,NA,NA,3.160913,37.361927,"Kenya",27.3,263
"26","Dendrohyrax arboreus","Mammalia","Hyracoidea","Procaviidae","Dendrohyrax","arboreus",NA,"Southern Tree Hyrax",365,1.755,NA,2981.11,13.6,229,152.04,380,NA,NA,NA,NA,12.3,365,1,NA,NA,NA,NA,NA,NA,53.4995,NA,NA,NA,NA,NA,NA,NA,-3.166998,37.362141,"Tanzania, United Republic of",16.9,1357
"27","Dendrohyrax arboreus","Mammalia","Hyracoidea","Procaviidae","Dendrohyrax","arboreus",NA,"Southern Tree Hyrax",365,1.755,NA,2981.11,13.6,229,152.04,380,NA,NA,NA,NA,12.3,365,1,NA,NA,NA,NA,NA,NA,53.4995,NA,NA,NA,NA,NA,NA,NA,3.163741,37.367249,"Kenya",27.3,263
"28","Dendrohyrax arboreus","Mammalia","Hyracoidea","Procaviidae","Dendrohyrax","arboreus",NA,"Southern Tree Hyrax",365,1.755,NA,2981.11,13.6,229,152.04,380,NA,NA,NA,NA,12.3,365,1,NA,NA,NA,NA,NA,NA,53.4995,NA,NA,NA,NA,NA,NA,NA,-0.350187,36.083221,"Kenya",17.2,827
"29","Dendrohyrax arboreus","Mammalia","Hyracoidea","Procaviidae","Dendrohyrax","arboreus",NA,"Southern Tree Hyrax",365,1.755,NA,2981.11,13.6,229,152.04,380,NA,NA,NA,NA,12.3,365,1,NA,NA,NA,NA,NA,NA,53.4995,NA,NA,NA,NA,NA,NA,NA,-3.188765,37.441666,"Tanzania, United Republic of",16.9,1357
"30","Dendrohyrax arboreus","Mammalia","Hyracoidea","Procaviidae","Dendrohyrax","arboreus",NA,"Southern Tree Hyrax",365,1.755,NA,2981.11,13.6,229,152.04,380,NA,NA,NA,NA,12.3,365,1,NA,NA,NA,NA,NA,NA,53.4995,NA,NA,NA,NA,NA,NA,NA,-3.190736,37.437546,"Tanzania, United Republic of",16.9,1357
"31","Dendrohyrax arboreus","Mammalia","Hyracoidea","Procaviidae","Dendrohyrax","arboreus",NA,"Southern Tree Hyrax",365,1.755,NA,2981.11,13.6,229,152.04,380,NA,NA,NA,NA,12.3,365,1,NA,NA,NA,NA,NA,NA,53.4995,NA,NA,NA,NA,NA,NA,NA,-3.178738,37.513504,"Tanzania, United Republic of",19,1262
"32","Dendrohyrax arboreus","Mammalia","Hyracoidea","Procaviidae","Dendrohyrax","arboreus",NA,"Southern Tree Hyrax",365,1.755,NA,2981.11,13.6,229,152.04,380,NA,NA,NA,NA,12.3,365,1,NA,NA,NA,NA,NA,NA,53.4995,NA,NA,NA,NA,NA,NA,NA,3.139745,37.305367,"Kenya",27.3,238
"33","Dendrohyrax arboreus","Mammalia","Hyracoidea","Procaviidae","Dendrohyrax","arboreus",NA,"Southern Tree Hyrax",365,1.755,NA,2981.11,13.6,229,152.04,380,NA,NA,NA,NA,12.3,365,1,NA,NA,NA,NA,NA,NA,53.4995,NA,NA,NA,NA,NA,NA,NA,3.134346,37.246056,"Kenya",27.3,238
"34","Dendrohyrax arboreus","Mammalia","Hyracoidea","Procaviidae","Dendrohyrax","arboreus",NA,"Southern Tree Hyrax",365,1.755,NA,2981.11,13.6,229,152.04,380,NA,NA,NA,NA,12.3,365,1,NA,NA,NA,NA,NA,NA,53.4995,NA,NA,NA,NA,NA,NA,NA,3.103749,37.260475,"Kenya",27.3,238
"35","Dendrohyrax arboreus","Mammalia","Hyracoidea","Procaviidae","Dendrohyrax","arboreus",NA,"Southern Tree Hyrax",365,1.755,NA,2981.11,13.6,229,152.04,380,NA,NA,NA,NA,12.3,365,1,NA,NA,NA,NA,NA,NA,53.4995,NA,NA,NA,NA,NA,NA,NA,-3.170683,37.357807,"Tanzania, United Republic of",16.9,1357
"36","Dendrohyrax arboreus","Mammalia","Hyracoidea","Procaviidae","Dendrohyrax","arboreus",NA,"Southern Tree Hyrax",365,1.755,NA,2981.11,13.6,229,152.04,380,NA,NA,NA,NA,12.3,365,1,NA,NA,NA,NA,NA,NA,53.4995,NA,NA,NA,NA,NA,NA,NA,-3.18388,37.358665,"Tanzania, United Republic of",16.9,1357
"37","Dendrohyrax arboreus","Mammalia","Hyracoidea","Procaviidae","Dendrohyrax","arboreus",NA,"Southern Tree Hyrax",365,1.755,NA,2981.11,13.6,229,152.04,380,NA,NA,NA,NA,12.3,365,1,NA,NA,NA,NA,NA,NA,53.4995,NA,NA,NA,NA,NA,NA,NA,3.161427,37.362015,"Kenya",27.3,263
"38","Dendrohyrax arboreus","Mammalia","Hyracoidea","Procaviidae","Dendrohyrax","arboreus",NA,"Southern Tree Hyrax",365,1.755,NA,2981.11,13.6,229,152.04,380,NA,NA,NA,NA,12.3,365,1,NA,NA,NA,NA,NA,NA,53.4995,NA,NA,NA,NA,NA,NA,NA,-3.166055,37.363472,"Tanzania, United Republic of",5.4,1643
"39","Dendrohyrax arboreus","Mammalia","Hyracoidea","Procaviidae","Dendrohyrax","arboreus",NA,"Southern Tree Hyrax",365,1.755,NA,2981.11,13.6,229,152.04,380,NA,NA,NA,NA,12.3,365,1,NA,NA,NA,NA,NA,NA,53.4995,NA,NA,NA,NA,NA,NA,NA,-18.040544,35.199133,"Mozambique",24.9,1046
"40","Dendrohyrax arboreus","Mammalia","Hyracoidea","Procaviidae","Dendrohyrax","arboreus",NA,"Southern Tree Hyrax",365,1.755,NA,2981.11,13.6,229,152.04,380,NA,NA,NA,NA,12.3,365,1,NA,NA,NA,NA,NA,NA,53.4995,NA,NA,NA,NA,NA,NA,NA,3.135374,37.245712,"Kenya",27.3,238
"41","Dendrohyrax arboreus","Mammalia","Hyracoidea","Procaviidae","Dendrohyrax","arboreus",NA,"Southern Tree Hyrax",365,1.755,NA,2981.11,13.6,229,152.04,380,NA,NA,NA,NA,12.3,365,1,NA,NA,NA,NA,NA,NA,53.4995,NA,NA,NA,NA,NA,NA,NA,-2.416213,34.685651,"Tanzania, United Republic of",20.6,852
"42","Dendrohyrax arboreus","Mammalia","Hyracoidea","Procaviidae","Dendrohyrax","arboreus",NA,"Southern Tree Hyrax",365,1.755,NA,2981.11,13.6,229,152.04,380,NA,NA,NA,NA,12.3,365,1,NA,NA,NA,NA,NA,NA,53.4995,NA,NA,NA,NA,NA,NA,NA,-9.11739,33.70599,"Tanzania, United Republic of",15.4,2127
